Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",115.850000,-77.150000,180.000000,top
"C2","100 uF 25V","CP_Elec_6.3x5.4",112.550000,-85.500000,-90.000000,top
"C3","47 uF 16V","CP_Elec_6.3x5.7",81.550000,-117.100000,180.000000,top
"C4","100 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",77.750000,-111.650000,-90.000000,top
"C5","100 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",88.950000,-118.300000,-90.000000,top
"C6","10 uF 6.3V","CP_Elec_6.3x5.7",80.700000,-127.700000,-90.000000,top
"C8","100 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",82.900000,-91.550000,0.000000,top
"C9","100 nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",87.050000,-94.500000,90.000000,top
"J1","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Vertical",72.400000,-106.750000,0.000000,top
"J2","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Vertical",115.580000,-106.750000,0.000000,top
"J3","HC-05 BT Module","PinHeader_1x06_P2.54mm_Vertical",72.400000,-98.210000,90.000000,top
"J4","MPU_6050","PinHeader_1x08_P2.54mm_Vertical",103.840000,-122.200000,-90.000000,top
"J5","L298N_digital","PinHeader_1x06_P2.54mm_Vertical",113.200000,-70.150000,-90.000000,top
"J9","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",117.625000,-73.550000,90.000000,top
"SW1","SW_SPDT_XKB_DMx-xxxx-1","SW_SPDT_CK_JS102011SAQN",77.800000,-138.450000,0.000000,top
"SW2","SW_SPDT_XKB_DMx-xxxx-1","SW_SPDT_CK_JS102011SAQN",84.000000,-108.880000,0.000000,top
"SW3","SW_SPDT_XKB_DMx-xxxx-1","SW_SPDT_CK_JS102011SAQN",106.400000,-108.950000,0.000000,top
"SW4","SW_SPDT_XKB_DMx-xxxx-1","SW_SPDT_CK_JS102011SAQN",95.260000,-108.880000,0.000000,top
"SW5","SW_DPST_x2","SW_DIP_SPSTx01_Slide_Copal_CHS-01A_W5.08mm_P1.27mm_JPin",118.900000,-66.350000,-90.000000,top
